ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount,trade_date_intraday,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,limitup_quality_is_default,limitup_quality_score_raw,intraday_risk_is_default,intraday_risk_score_raw,late_withdraw_is_default,late_withdraw_score_raw,reseal_is_default,reseal_score_raw,reseal_score,open_board_count_is_default,open_board_count_raw,seal_stability_score,auction_strength_is_default,auction_strength_score_raw,auction_strength_score,auction_real_volume_score,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,intraday_status,intraday_data_status,intraday_missing_reason,auction_available,auction_data_status,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,risk_level,risk_label,risk_tags
000012.SZ,南  玻Ａ,玻璃,玻璃,20260622,U,4.73,4.73,3.87,0,56213784.0,100715,100715,56213784.0,20260622,1min,241,1,10:08:00,15:00:00,1,0.0,2.3256,0,,0.0,51.0465,0.0117,0.0,31,0.0,57.0,1.0,1.0,neutral_limitup,1.0,000012.SZ,0,65.964,0,10.2,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,000012.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000048.SZ,京基智农,农业综合,农业综合,20260622,U,20.75,20.75,16.97,15,16286343.0,93215,135606,16286343.0,20260622,1min,241,1,09:33:00,15:00:00,3,4.0,5.253,4,45.5,20.0,0.0,0.004938,0.0,31,0.0,34.0,1.0,1.0,high_open_board_risk,1.0,000048.SZ,0,40.3,0,60.7,0,0.0,1,,0.5,0,4.0,0.5,1,,0.5,0.5,0.0,0.8,0.5,0.0,20260622,intraday_refine_v2,000048.SZ,ok,ok,,1,ok,0.7050000000000001,0.30000000000000004,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000060.SZ,中金岭南,铅锌,铅锌,20260622,U,8.81,8.81,7.21,8,85682562.0,131636,134215,85682562.0,20260622,1min,241,1,13:17:00,15:00:00,2,5.0,0.454,5,1.2,99.0,36.9258,0.0096,0.0,31,0.0,14.8,1.0,1.0,high_open_board_risk,1.0,000060.SZ,0,42.7377,0,48.03,0,0.0,1,,0.5,0,5.0,0.5,1,,0.5,0.5,0.0,1.0,0.5,0.0,20260622,intraday_refine_v2,000060.SZ,ok,ok,,1,ok,0.675,0.35,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000070.SZ,特发信息,通信设备,通信设备,20260622,U,22.8,22.8,18.66,1,148194163.0,93003,93133,148194163.0,20260622,1min,241,1,09:31:00,15:00:00,1,0.0,1.4035,0,,0.0,56.5789,0.016922,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,000070.SZ,0,73.4737,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,000070.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000510.SZ,新金路,化工原料,化工原料,20260622,U,24.31,24.31,19.89,0,68212522.0,94033,94033,68212522.0,20260622,1min,241,1,09:40:00,15:00:00,1,0.0,0.9872,0,,0.0,59.0765,0.014891,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,000510.SZ,0,74.223,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,000510.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000519.SZ,中兵红箭,专用机械,专用机械,20260622,U,22.37,22.37,18.31,1,54567141.0,100006,135124,54567141.0,20260622,1min,241,1,09:59:00,15:00:00,3,1.0,2.5034,1,228.0,20.0,44.9799,0.01025,0.0,31,0.0,64.0,1.0,1.0,neutral_limitup,1.0,000519.SZ,0,67.294,0,33.1,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260622,intraday_refine_v2,000519.SZ,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000545.SZ,金浦钛业,化工原料,化工原料,20260622,U,2.65,2.65,2.17,0,75864147.0,95245,95245,75864147.0,20260622,1min,241,1,09:53:00,15:00:00,1,0.0,4.5283,0,,0.0,37.8302,0.01544,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,000545.SZ,0,67.8491,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,000545.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000571.SZ,新大洲A,煤炭开采,煤炭开采,20260622,U,5.83,5.83,4.77,2,12886049.0,93000,102445,12886049.0,20260622,1min,241,1,09:30:00,15:00:00,3,2.0,2.916,2,2.5,92.5,55.8793,0.032304,0.0,31,0.0,68.5,1.0,1.0,neutral_limitup,1.0,000571.SZ,0,72.5888,0,22.0,0,0.0,1,,0.5,0,2.0,0.5,1,,0.5,0.5,0.0,0.4,0.5,0.0,20260622,intraday_refine_v2,000571.SZ,ok,ok,,1,ok,0.765,0.2,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000612.SZ,焦作万方,铝,铝,20260622,U,12.13,12.13,9.93,0,19249097.0,135930,135930,19249097.0,20260622,1min,241,1,14:00:00,15:00:00,1,0.0,0.3298,0,,0.0,63.0214,0.030894,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,000612.SZ,0,64.1564,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,000612.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000657.SZ,中钨高新,小金属,小金属,20260622,U,108.33,108.33,88.63,7,309296232.0,95209,112900,309296232.0,20260622,1min,241,1,09:42:00,15:00:00,5,3.0,2.6678,3,29.6667,35.3333,25.36,0.007052,0.0,31,0.0,47.0667,1.0,1.0,high_open_board_risk,1.0,000657.SZ,0,53.788,0,47.2067,0,0.0,1,,0.5,0,3.0,0.5,1,,0.5,0.5,0.0,0.6,0.5,0.0,20260622,intraday_refine_v2,000657.SZ,ok,ok,,1,ok,0.7350000000000001,0.25,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000682.SZ,东方电子,电气设备,电气设备,20260622,U,14.15,14.15,11.57,11,10498436.0,141818,144130,10498436.0,20260622,1min,241,1,14:19:00,15:00:00,2,1.0,0.4947,1,6.0,82.0,78.7318,0.13962,0.0,30,1.0,48.4,1.0,1.0,neutral_limitup,1.0,000682.SZ,0,67.3995,0,22.94,0,12.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260622,intraday_refine_v2,000682.SZ,ok,ok,,1,ok,0.595,0.44999999999999996,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000751.SZ,锌业股份,铅锌,铅锌,20260622,U,5.67,5.67,4.64,0,151312182.0,92500,92500,151312182.0,20260622,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,0.020538,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,000751.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,000751.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000776.SZ,广发证券,证券,证券,20260622,U,22.7,22.7,18.58,0,260659537.0,111903,111903,260659537.0,20260622,1min,241,1,11:19:00,15:00:00,1,0.0,0.3084,0,,0.0,63.1498,0.013967,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,000776.SZ,0,64.1949,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,000776.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000783.SZ,长江证券,证券,证券,20260622,U,8.6,8.6,7.04,2,71297809.0,112903,130930,71297809.0,20260622,1min,241,1,11:29:00,15:00:00,2,1.0,1.1628,1,100.0,20.0,53.0233,0.010825,0.0,31,0.0,39.0,1.0,1.0,neutral_limitup,1.0,000783.SZ,0,58.457,0,36.85,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260622,intraday_refine_v2,000783.SZ,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000811.SZ,冰轮环境,工程机械,工程机械,20260622,U,44.19,44.19,36.15,0,96113250.0,130124,130124,96113250.0,20260622,1min,241,1,13:01:00,15:00:00,1,0.0,1.1541,0,,0.0,58.0754,0.008377,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,000811.SZ,0,62.6726,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,000811.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000823.SZ,超声电子,元器件,元器件,20260622,U,23.76,23.76,19.44,5,47783023.0,131457,134636,47783023.0,20260622,1min,241,1,13:15:00,15:00:00,4,3.0,1.0522,3,8.0,74.0,48.5869,0.004852,0.0,31,0.0,29.8,1.0,1.0,high_open_board_risk,1.0,000823.SZ,0,52.9861,0,40.13,0,0.0,1,,0.5,0,3.0,0.5,1,,0.5,0.5,0.0,0.6,0.5,0.0,20260622,intraday_refine_v2,000823.SZ,ok,ok,,1,ok,0.7350000000000001,0.25,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000833.SZ,粤桂股份,综合类,综合类,20260622,U,24.13,24.13,19.75,26,10513441.0,130624,143615,10513441.0,20260622,1min,241,1,13:06:00,15:00:00,6,8.0,1.6162,8,3.5,92.0,0.0,0.017794,0.0,29,1.0,0.0,1.0,1.0,high_open_board_risk,1.0,000833.SZ,0,19.0,0,58.0,0,24.0,1,,0.5,0,8.0,0.5,1,,0.5,0.5,0.0,1.0,0.5,0.0,20260622,intraday_refine_v2,000833.SZ,ok,ok,,1,ok,0.47500000000000003,0.65,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000960.SZ,锡业股份,小金属,小金属,20260622,U,45.91,45.91,37.57,23,173162465.0,94027,105954,173162465.0,20260622,1min,241,1,09:41:00,15:00:00,2,5.0,0.501,5,2.4,93.0,34.5441,0.007597,0.0,31,0.0,38.6,1.0,1.0,high_open_board_risk,1.0,000960.SZ,0,52.7332,0,45.96,0,0.0,1,,0.5,0,5.0,0.5,1,,0.5,0.5,0.0,1.0,0.5,0.0,20260622,intraday_refine_v2,000960.SZ,ok,ok,,1,ok,0.675,0.35,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000962.SZ,东方钽业,小金属,小金属,20260622,U,69.31,69.31,56.71,7,148552330.0,93521,105418,148552330.0,20260622,1min,241,1,09:36:00,15:00:00,2,1.0,1.2264,1,1.0,100.0,80.6418,0.006186,0.0,31,0.0,80.0,1.0,1.0,healthy_limitup,1.0,000962.SZ,0,85.1925,0,10.7,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260622,intraday_refine_v2,000962.SZ,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000987.SZ,越秀资本,多元金融,多元金融,20260622,U,8.23,8.23,6.73,9,19610657.0,131545,134421,19610657.0,20260622,1min,241,1,13:15:00,15:00:00,3,3.0,0.486,3,2.6667,91.6667,58.1672,0.026521,0.0,31,0.0,33.3333,1.0,1.0,high_open_board_risk,1.0,000987.SZ,0,57.4502,0,35.1833,0,0.0,1,,0.5,0,3.0,0.5,1,,0.5,0.5,0.0,0.6,0.5,0.0,20260622,intraday_refine_v2,000987.SZ,ok,ok,,1,ok,0.7350000000000001,0.25,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001296.SZ,长江材料,其他建材,其他建材,20260622,U,22.62,22.62,18.5,5,4494594.0,143942,145000,4494594.0,20260622,1min,241,1,14:33:00,15:00:00,2,6.0,0.221,6,1.1667,99.1667,26.3821,0.12412,0.0,21,1.0,0.0,1.0,1.0,late_withdraw_risk,1.0,001296.SZ,0,11.9146,0,71.2083,0,84.0,1,,0.5,0,6.0,0.5,1,,0.5,0.5,0.0,1.0,0.5,0.0,20260622,intraday_refine_v2,001296.SZ,ok,ok,,1,ok,0.47500000000000003,0.65,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001359.SZ,平安电工,矿物制品,矿物制品,20260622,U,145.42,145.42,118.98,0,17170466.0,130206,130206,17170466.0,20260622,1min,241,1,13:03:00,15:00:00,1,0.0,0.1925,0,,0.0,63.8447,0.018819,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,001359.SZ,0,64.4034,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,001359.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002057.SZ,中钢天源,矿物制品,矿物制品,20260622,U,13.4,13.4,10.96,2,22118040.0,145351,150000,22118040.0,20260622,1min,241,1,14:54:00,15:00:00,1,0.0,1.5672,0,,0.0,55.597,0.322565,0.0,7,1.0,10.5846,1.0,1.0,weak_limitup,1.0,002057.SZ,0,37.0267,0,26.5778,0,37.6618,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002057.SZ,ok,ok,,1,ok,0.625,0.4,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002068.SZ,黑猫股份,化工原料,化工原料,20260622,U,11.5,11.5,9.41,6,5781050.0,112942,140209,5781050.0,20260622,1min,241,1,10:07:00,15:00:00,3,2.0,2.9565,2,27.0,38.0,36.5609,0.031968,0.0,31,0.0,44.6,1.0,1.0,neutral_limitup,1.0,002068.SZ,0,56.0383,0,39.21,0,0.0,1,,0.5,0,2.0,0.5,1,,0.5,0.5,0.0,0.4,0.5,0.0,20260622,intraday_refine_v2,002068.SZ,ok,ok,,1,ok,0.765,0.2,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002114.SZ,罗平锌电,铅锌,铅锌,20260622,U,8.24,8.24,6.74,0,28634824.0,94003,94003,28634824.0,20260622,1min,241,1,09:41:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,0.064695,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,002114.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002114.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002167.SZ,东方锆业,小金属,小金属,20260622,U,17.74,17.74,14.52,0,933375819.0,92500,92500,933375819.0,20260622,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,0.0375,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,002167.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002167.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002258.SZ,利尔化学,农药化肥,农药化肥,20260622,U,14.23,14.23,11.65,0,18969443.0,140030,140030,18969443.0,20260622,1min,241,1,14:01:00,15:00:00,1,0.0,0.7027,0,,0.0,60.7836,0.022246,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,002258.SZ,0,63.4851,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002258.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002297.SZ,博云新材,航空,航空,20260622,U,31.2,31.2,25.52,1,255979245.0,92500,93142,255979245.0,20260622,1min,241,1,09:30:00,15:00:00,1,1.0,4.5513,1,1.0,100.0,60.6923,0.010338,0.0,31,0.0,80.0,1.0,1.0,healthy_limitup,1.0,002297.SZ,0,79.2077,0,10.7,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260622,intraday_refine_v2,002297.SZ,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002312.SZ,川发龙蟒,化工原料,化工原料,20260622,U,9.26,9.26,7.58,0,88561797.0,93445,93445,88561797.0,20260622,1min,241,1,09:35:00,15:00:00,1,0.0,2.0518,0,,0.0,52.689,0.020564,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,002312.SZ,0,72.3067,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002312.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002346.SZ,柘中股份,电气设备,电气设备,20260622,U,20.27,20.27,16.59,0,38508946.0,93624,93624,38508946.0,20260622,1min,241,1,09:37:00,15:00:00,1,0.0,1.0853,0,,0.0,58.4879,0.017563,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,002346.SZ,0,74.0464,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002346.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002354.SZ,天娱数科,互联网,互联网,20260622,U,8.5,8.5,6.96,11,114987243.0,93212,100230,114987243.0,20260622,1min,241,1,09:33:00,15:00:00,1,2.0,0.8235,2,1.0,100.0,71.0588,0.009984,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,002354.SZ,0,77.8176,0,19.9,0,0.0,1,,0.5,0,2.0,0.5,1,,0.5,0.5,0.0,0.4,0.5,0.0,20260622,intraday_refine_v2,002354.SZ,ok,ok,,1,ok,0.765,0.2,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002367.SZ,康力电梯,运输设备,运输设备,20260622,U,5.98,5.98,4.9,2,17236752.0,94430,111842,17236752.0,20260622,1min,241,1,09:45:00,15:00:00,2,1.0,3.01,1,93.0,20.0,41.9398,0.003672,0.0,31,0.0,64.0,1.0,1.0,neutral_limitup,1.0,002367.SZ,0,66.3819,0,33.1,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260622,intraday_refine_v2,002367.SZ,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002386.SZ,天原股份,化工原料,化工原料,20260622,U,6.06,6.06,4.96,0,21754309.0,105233,105233,21754309.0,20260622,1min,241,1,10:53:00,15:00:00,1,0.0,0.8251,0,,0.0,60.0495,0.014026,0.0,31,0.0,57.0,1.0,1.0,neutral_limitup,1.0,002386.SZ,0,68.6649,0,10.2,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002386.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002407.SZ,多氟多,化工原料,化工原料,20260622,U,42.66,42.66,34.9,0,357610717.0,111851,111851,357610717.0,20260622,1min,241,1,11:19:00,15:00:00,1,0.0,1.2189,0,,0.0,57.6864,0.010297,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,002407.SZ,0,62.5559,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002407.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002409.SZ,雅克科技,半导体,半导体,20260622,U,165.18,165.18,135.14,0,103397394.0,144145,144145,103397394.0,20260622,1min,241,1,14:42:00,15:00:00,1,0.0,0.3632,0,,0.0,62.8206,0.070828,0.0,19,1.0,17.0,1.0,1.0,weak_limitup,1.0,002409.SZ,0,48.4962,0,19.2,0,12.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002409.SZ,ok,ok,,1,ok,0.625,0.4,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002418.SZ,康盛股份,家用电器,家用电器,20260622,U,4.66,4.66,3.82,0,84433142.0,93527,93527,84433142.0,20260622,1min,241,1,09:36:00,15:00:00,1,0.0,1.073,0,,0.0,58.5622,0.011782,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,002418.SZ,0,74.0687,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002418.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002421.SZ,达实智能,软件服务,软件服务,20260622,U,4.21,4.21,3.45,2,86753436.0,94424,103939,86753436.0,20260622,1min,241,1,09:45:00,15:00:00,3,2.0,2.1378,2,25.5,39.5,41.9984,0.002543,0.0,31,0.0,57.9,1.0,1.0,neutral_limitup,1.0,002421.SZ,0,63.6545,0,36.84,0,0.0,1,,0.5,0,2.0,0.5,1,,0.5,0.5,0.0,0.4,0.5,0.0,20260622,intraday_refine_v2,002421.SZ,ok,ok,,1,ok,0.765,0.2,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002428.SZ,云南锗业,小金属,小金属,20260622,U,110.48,110.48,90.4,0,340376616.0,93236,93236,340376616.0,20260622,1min,241,1,09:33:00,15:00:00,1,0.0,1.1586,0,,0.0,58.0485,0.015954,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,002428.SZ,0,73.9146,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002428.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002440.SZ,闰土股份,染料涂料,染料涂料,20260622,U,10.99,10.99,8.99,0,60129587.0,101927,101927,60129587.0,20260622,1min,241,1,10:18:00,15:00:00,2,0.0,0.273,0,,0.0,63.3621,0.009808,0.0,31,0.0,57.0,1.0,1.0,neutral_limitup,1.0,002440.SZ,0,69.6586,0,10.2,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002440.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002539.SZ,云图控股,农药化肥,农药化肥,20260622,U,12.6,12.6,10.31,0,80064532.0,135824,135824,80064532.0,20260622,1min,241,1,13:59:00,15:00:00,1,0.0,0.3968,0,,0.0,62.619,0.014223,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,002539.SZ,0,64.0357,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002539.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002546.SZ,新联电子,电气设备,电气设备,20260622,U,7.37,7.37,6.03,0,92096257.0,94742,94742,92096257.0,20260622,1min,241,1,09:48:00,15:00:00,1,0.0,1.2212,0,,0.0,57.673,0.007699,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,002546.SZ,0,73.8019,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260622,intraday_refine_v2,002546.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002601.SZ,龙佰集团,化工原料,化工原料,20260622,U,17.03,17.03,13.93,11,16517907.0,111039,134939,16517907.0,20260622,1min,241,1,11:11:00,15:00:00,4,3.0,0.8221,3,35.0,30.0,34.5675,0.012252,0.0,31,0.0,21.0,1.0,1.0,high_open_board_risk,1.0,002601.SZ,0,44.8203,0,52.45,0,0.0,1,,0.5,0,3.0,0.5,1,,0.5,0.5,0.0,0.6,0.5,0.0,20260622,intraday_refine_v2,002601.SZ,ok,ok,,1,ok,0.7350000000000001,0.25,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002655.SZ,共达电声,元器件,元器件,20260622,U,46.87,46.87,38.35,4,103573279.0,93000,93639,103573279.0,20260622,1min,241,1,09:30:00,15:00:00,1,2.0,2.0055,2,1.5,97.5,63.0917,0.005671,0.0,31,0.0,69.5,1.0,1.0,healthy_limitup,1.0,002655.SZ,0,75.2025,0,20.6,0,0.0,1,,0.5,0,2.0,0.5,1,,0.5,0.5,0.0,0.4,0.5,0.0,20260622,intraday_refine_v2,002655.SZ,ok,ok,,1,ok,0.765,0.2,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002657.SZ,中科金财,软件服务,软件服务,20260622,U,21.8,21.8,17.84,3,59714560.0,95518,100206,59714560.0,20260622,1min,241,1,09:56:00,15:00:00,1,1.0,0.5046,1,1.0,100.0,84.9725,0.009617,0.0,31,0.0,80.0,1.0,1.0,healthy_limitup,1.0,002657.SZ,0,86.4917,0,10.7,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260622,intraday_refine_v2,002657.SZ,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
