ts_code,name,industry,trade_date,close,pct_chg,vol,turnover_rate,circ_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,intraday_strength_adjustment,strength_plus_score,intraday_available,intraday_status,intraday_missing_reason,intraday_source_date,intraday_feature_version,intraday_matched_key,auction_available,limitup_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,open_board_risk_score,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_confidence_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
003040.SZ,楚天龙,通信设备,20260825,15.48,10.0213,452915.3,9.9139,,1.65,,1.0,U,15.48,12.66,0.0,160849088.0,93548,93548,0.0,72.114754,72.114754,72.114754,0.755421,0.0,72.114754,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.9361407249466951,0.5,0.5,0.0,missing_stock,ok,9,,A,0.7213114754098361,0.5081967213114754,0.819672131147541,0.6639344262295082,0.5081967213114754,0.8852459016393442,0.7295081967213115,1.0
002412.SZ,汉森制药,中药Ⅱ,20260825,12.33,9.9911,1058712.23,21.2659,,3.93,-102295843.37,1.0,U,12.33,10.09,0.0,117349788.0,09:46:00,15:00:00,0.0,67.065574,67.065574,67.065574,0.759121,1.769305,68.834879,1,ok,,20260825,intraday_refine_v2,002412.SZ,1,0.684088,0.120608,0,0.1206082,0.0,0.396959,0.0,0.0,0.8300178412132023,0.5,0.7,1.0,ok,ok,9,,A,0.2459016393442623,0.5081967213114754,0.9508196721311475,0.9508196721311475,0.5081967213114754,0.8032786885245902,0.7295081967213115,1.0
000695.SZ,滨海能源,电池,20260825,15.35,10.0358,199645.01,9.0007,,1.76,,1.0,U,15.35,12.56,1.0,89465924.0,09:53:00,15:00:00,1.0,67.327869,67.327869,67.327869,0.748156,1.497546,68.825415,1,ok,,20260825,intraday_refine_v2,000695.SZ,1,0.73772,0.084853,0,0.0848534,0.0,0.575733,0.0,0.0,0.4112903225806451,0.5,0.7,1.0,ok,ok,9,,A,0.7868852459016393,0.5081967213114754,0.7377049180327869,0.7540983606557377,0.5081967213114754,0.6885245901639344,0.319672131147541,1.0
000560.SZ,我爱我家,房地产服务,20260825,2.39,10.1382,2848471.41,12.1811,,1.06,,1.0,U,2.39,1.95,0.0,67197414.0,10:29:00,15:00:00,0.0,68.901639,68.901639,68.901639,0.669571,-0.388908,68.512731,1,ok,,20260825,intraday_refine_v2,000560.SZ,1,0.618655,0.12523,0,0.12523019999999999,0.0,0.37384900000000004,0.0,0.0,0.3947004608294933,0.5,0.57,1.0,ok,ok,9,,A,0.9836065573770492,0.5081967213114754,0.8360655737704918,0.29508196721311475,0.5081967213114754,0.5081967213114754,0.7295081967213115,1.0
603395.SH,红四方,农化制品,20260825,28.55,10.0193,135605.58,20.8624,,0.94,,1.0,U,28.55,23.36,0.0,93508244.0,94713,94713,0.0,68.278689,68.278689,68.278689,0.676257,0.0,68.278689,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.40838150289017344,0.5,0.5,0.0,missing_stock,ok,9,,A,0.6885245901639344,0.5081967213114754,0.9672131147540983,0.21311475409836064,0.5081967213114754,0.7213114754098361,0.7295081967213115,1.0
002837.SZ,英维克,专用设备,20260825,60.23,10.0091,964758.86,8.5133,,2.56,368664164.52,1.0,U,60.23,49.28,1.0,326130693.0,100548,111236,1.0,68.016393,68.016393,68.016393,0.66261,0.0,68.016393,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.3173972602739726,0.5,0.5,0.0,missing_stock,ok,9,,A,0.5409836065573771,0.5081967213114754,0.7213114754098361,0.8852459016393442,0.5081967213114754,1.0,0.319672131147541,1.0
000779.SZ,甘咨询,工程咨询,20260825,10.01,10.0,632021.15,13.5983,,0.72,,1.0,U,10.01,8.19,0.0,181897495.0,09:59:00,15:00:00,0.0,64.131148,64.131148,64.131148,0.758897,2.35171,66.482858,1,ok,,20260825,intraday_refine_v2,000779.SZ,1,0.7510089999999999,0.075994,0,0.075994,0.0,0.62003,0.0,0.0,0.3972527472527474,0.5,0.7,1.0,ok,ok,9,,A,0.4016393442622951,0.5081967213114754,0.9016393442622951,0.11475409836065574,0.5081967213114754,0.9344262295081968,0.7295081967213115,1.0
000017.SZ,深中华A,饰品,20260825,8.6,9.9744,578558.92,13.1245,,3.94,-416771.4,1.0,U,8.6,7.04,1.0,122828863.0,09:30:00,15:00:00,1.0,61.065574,61.065574,61.065574,0.833721,4.461305,65.526879,1,ok,,20260825,intraday_refine_v2,000017.SZ,1,0.734884,0.086744,0,0.08674420000000001,0.0,0.566279,0.0,0.0,1.0,0.5,0.7,1.0,ok,ok,9,,A,0.09836065573770492,0.5081967213114754,0.8688524590163934,0.9672131147540983,0.5081967213114754,0.8360655737704918,0.319672131147541,1.0
600103.SH,青山纸业,造纸,20260825,3.15,10.1399,1661321.13,7.5094,,2.43,56991752.4,1.0,U,3.15,2.57,0.0,33846772.0,94537,94537,0.0,65.393443,65.393443,65.393443,0.6825,0.0,65.393443,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.45,0.5,0.5,0.0,missing_stock,ok,9,,A,1.0,0.5081967213114754,0.6065573770491803,0.8524590163934426,0.5081967213114754,0.21311475409836064,0.7295081967213115,1.0
002418.SZ,康盛股份,家电零部,20260825,4.05,10.0543,945555.3,8.3206,,1.37,,1.0,U,4.05,3.31,1.0,51021944.0,10:01:00,15:00:00,1.0,62.442623,62.442623,62.442623,0.733645,2.184375,64.626998,1,ok,,20260825,intraday_refine_v2,002418.SZ,1,0.7479720000000001,0.116019,0,0.116019,0.0,0.669907,1.0,0.2,0.36847826086956453,0.5,0.66,1.0,ok,ok,9,,A,0.8688524590163934,0.5081967213114754,0.6885245901639344,0.5573770491803278,0.5081967213114754,0.4098360655737705,0.319672131147541,1.0
